time;user_id;ip;video_id;platform
2025-02-20 00:00:00.000;1964;115.140.58.148;18318;android
20.02.2025 0:00;1573;160.179.46.24;13693;android
20.02.2025 0:00;2223;228.214.166.91;84713;android
20.02.2025 0:00;1126;184.57.115.70;35616;iphone
20.02.2025 0:00;26;172.10.12.34;34873;android
20.02.2025 0:00;807;79.235.170.28;32359;iphone
2025-02-20 00:00:09.000;2176;58.248.120.81;62875;iphone
20.02.2025 0:00;582;174.114.79.137;55926;iphone
20.02.2025 0:00;624;57.90.239.5;33533;iphone
20.02.2025 0:00;1404;237.179.86.109;32501;iphone
20.02.2025 0:00;2394;20.115.59.193;65523;iphone
20.02.2025 0:00;1282;218.35.171.234;11527;android
20.02.2025 0:00;2240;7.179.90.92;10277;iphone
20.02.2025 0:00;1359;11.89.58.164;27630;android
2025-02-20 00:00:25.000;211;220.93.254.11;73588;iphone
20.02.2025 0:00;619;90.153.167.0;25566;android
20.02.2025 0:00;347;126.51.8.6;29859;android
20.02.2025 0:00;2176;189.96.52.139;35616;iphone
20.02.2025 0:00;460;127.93.69.238;11527;android
20.02.2025 0:00;295;118.50.63.221;73786;iphone
20.02.2025 0:00;60;146.53.151.45;44862;android
20.02.2025 0:00;312;175.85.51.239;44862;iphone
20.02.2025 0:00;1941;232.58.21.148;45613;android
2025-02-20 00:00:40.000;786;125.139.190.109;54188;android
20.02.2025 0:00;1042;153.47.216.30;35616;android
20.02.2025 0:00;968;154.138.88.138;11527;iphone
20.02.2025 0:00;50;144.16.17.125;46605;iphone
2025-02-20 00:00:49.000;1777;137.78.162.109;12787;android
20.02.2025 0:00;877;147.157.226.204;70143;iphone
20.02.2025 0:00;1564;170.22.102.126;27065;android
20.02.2025 0:00;1659;44.197.23.175;72424;iphone
2025-02-20 00:00:53.000;52;167.22.202.130;78541;android
20.02.2025 0:00;1855;27.3.121.13;87627;iphone
20.02.2025 0:00;1587;60.165.137.101;96641;android
20.02.2025 0:00;1471;186.89.224.105;84094;android
20.02.2025 0:00;1645;217.246.190.129;80855;android
20.02.2025 0:01;315;254.35.235.92;54188;android
20.02.2025 0:01;500;99.227.183.212;12078;android
20.02.2025 0:01;2262;135.94.120.253;75222;android
20.02.2025 0:01;613;224.211.39.180;62875;iphone
20.02.2025 0:01;510;159.98.8.8;63698;iphone
20.02.2025 0:01;2277;48.135.76.101;73786;android
20.02.2025 0:01;840;99.52.28.114;13663;android
2025-02-20 00:01:09.000;666;40.78.244.187;83899;android
20.02.2025 0:01;1962;88.148.243.135;99129;android
20.02.2025 0:01;1022;52.56.224.128;21474;android
20.02.2025 0:01;1437;200.205.116.16;73588;android
20.02.2025 0:01;827;92.230.75.201;55523;iphone
2025-02-20 00:01:19.000;2100;195.48.32.84;35616;android
2025-02-20 00:01:20.000;131;137.206.106.129;64392;iphone
20.02.2025 0:01;1740;208.160.55.124;44862;android
20.02.2025 0:01;602;42.254.129.209;55926;android
2025-02-20 00:01:26.000;1355;227.73.108.146;61440;android
20.02.2025 0:01;543;215.167.98.199;60808;android
20.02.2025 0:01;506;80.57.249.136;53947;android
2025-02-20 00:01:31.000;1308;12.67.222.248;26717;android
20.02.2025 0:01;770;245.67.178.225;30113;android
20.02.2025 0:01;960;54.208.98.19;89224;android
20.02.2025 0:01;48;85.223.255.212;27065;iphone
20.02.2025 0:01;112;103.190.249.79;19961;iphone
20.02.2025 0:01;691;131.64.35.107;12468;iphone
2025-02-20 00:01:39.000;1867;60.142.87.240;77794;iphone
20.02.2025 0:01;1319;70.13.16.251;26064;android
20.02.2025 0:01;1543;185.106.86.233;86108;iphone
20.02.2025 0:01;2019;56.38.73.32;50324;android
20.02.2025 0:01;1331;80.173.60.253;90236;iphone
20.02.2025 0:01;100;175.174.18.36;21505;android
20.02.2025 0:01;1814;253.184.185.123;29859;iphone
20.02.2025 0:01;1994;130.155.22.148;33533;iphone
20.02.2025 0:01;1917;148.156.199.148;44862;android
2025-02-20 00:01:56.000;744;78.14.5.35;81879;iphone
2025-02-20 00:01:56.000;553;241.128.49.255;44862;iphone
20.02.2025 0:01;1604;41.244.160.29;17284;iphone
20.02.2025 0:01;2319;209.185.170.136;97684;iphone
20.02.2025 0:01;68;223.59.78.33;34873;android
20.02.2025 0:02;613;43.96.24.16;36471;iphone
20.02.2025 0:02;1654;177.223.205.68;80855;android
20.02.2025 0:02;1309;86.244.71.186;60808;iphone
20.02.2025 0:02;725;211.27.170.212;95945;iphone
20.02.2025 0:02;483;65.141.77.246;18318;iphone
20.02.2025 0:02;1760;209.67.105.179;27630;android
20.02.2025 0:02;718;98.172.156.101;27630;iphone
20.02.2025 0:02;128;184.248.252.112;52739;android
20.02.2025 0:02;243;192.58.192.155;46715;android
2025-02-20 00:02:13.000;307;228.170.200.156;77794;iphone
20.02.2025 0:02;2394;110.240.221.107;61440;iphone
20.02.2025 0:02;1740;194.204.160.50;47841;android
2025-02-20 00:02:14.000;1159;113.132.244.190;83155;iphone
20.02.2025 0:02;1863;65.38.180.166;32501;android
20.02.2025 0:02;1748;87.10.160.49;27669;android
20.02.2025 0:02;2407;19.162.215.177;72424;android
20.02.2025 0:02;275;164.236.169.135;47841;iphone
20.02.2025 0:02;431;116.128.118.116;86108;iphone
20.02.2025 0:02;1188;116.218.207.170;62875;iphone
20.02.2025 0:02;49;43.182.130.151;95945;iphone
2025-02-20 00:02:32.000;946;239.128.185.204;15464;android
20.02.2025 0:02;1545;248.186.243.126;46605;android
